,location,total_sqft,bath,price,bhk
0,1st Block Jayanagar,1630.0,3.0,194.0,3
1,1st Block Jayanagar,1875.0,2.0,235.0,3
2,1st Block Jayanagar,1235.0,2.0,148.0,2
3,1st Phase JP Nagar,2825.0,4.0,250.0,4
4,1st Phase JP Nagar,1875.0,3.0,167.0,3
5,1st Phase JP Nagar,2024.0,3.0,157.0,3
6,1st Phase JP Nagar,1394.0,2.0,100.0,2
7,1st Phase JP Nagar,1077.0,2.0,93.0,2
8,1st Phase JP Nagar,1590.0,3.0,131.0,3
9,1st Phase JP Nagar,2180.0,3.0,210.0,3
10,1st Phase JP Nagar,1180.0,2.0,88.5,2
11,1st Phase JP Nagar,1200.0,2.0,86.0,2
12,1st Phase JP Nagar,2077.0,3.0,175.0,3
13,1st Phase JP Nagar,1205.0,2.0,85.0,2
14,1st Phase JP Nagar,2615.0,5.0,222.0,4
15,1st Phase JP Nagar,900.0,2.0,75.0,2
16,2nd Phase Judicial Layout,1450.0,2.0,50.75,3
17,2nd Phase Judicial Layout,1150.0,2.0,40.25,2
18,2nd Phase Judicial Layout,1350.0,2.0,47.25,3
19,2nd Phase Judicial Layout,1350.0,2.0,47.25,3
20,2nd Phase Judicial Layout,1350.0,2.0,47.25,3
21,2nd Phase Judicial Layout,1150.0,2.0,40.25,2
22,2nd Stage Nagarbhavi,1500.0,4.0,220.0,4
23,2nd Stage Nagarbhavi,3000.0,8.0,451.0,6
24,2nd Stage Nagarbhavi,1350.0,4.0,200.0,4
25,2nd Stage Nagarbhavi,1500.0,3.0,230.0,4
26,5th Block Hbr Layout,1206.0,2.0,56.0,2
27,5th Block Hbr Layout,1270.0,2.0,70.0,3
28,5th Block Hbr Layout,1312.0,2.0,69.0,2
29,5th Block Hbr Layout,1100.0,2.0,48.0,2
30,5th Phase JP Nagar,1150.0,3.0,52.5,2
31,5th Phase JP Nagar,1256.0,2.0,62.8,2
32,5th Phase JP Nagar,1207.0,2.0,63.0,2
33,5th Phase JP Nagar,1485.0,2.0,67.0,3
34,5th Phase JP Nagar,600.0,1.0,30.0,1
35,5th Phase JP Nagar,1390.0,2.0,65.0,2
36,5th Phase JP Nagar,1256.0,2.0,62.8,2
37,5th Phase JP Nagar,1000.0,2.0,48.0,2
38,5th Phase JP Nagar,1240.0,3.0,60.0,3
39,5th Phase JP Nagar,1550.0,3.0,75.0,3
40,5th Phase JP Nagar,1190.0,2.0,61.8,2
41,5th Phase JP Nagar,1080.0,2.0,53.0,2
42,5th Phase JP Nagar,1041.0,2.0,54.0,2
43,5th Phase JP Nagar,812.0,2.0,42.0,2
44,5th Phase JP Nagar,1450.0,2.0,73.0,3
45,6th Phase JP Nagar,1192.0,2.0,74.0,2
46,6th Phase JP Nagar,1180.0,2.0,80.0,2
47,6th Phase JP Nagar,3245.0,4.0,250.0,4
48,6th Phase JP Nagar,1645.0,3.0,100.0,3
49,6th Phase JP Nagar,1140.0,2.0,65.0,2
50,6th Phase JP Nagar,1460.0,2.0,80.0,2
51,6th Phase JP Nagar,1810.0,3.0,131.0,3
52,6th Phase JP Nagar,1192.0,2.0,75.0,2
53,6th Phase JP Nagar,1280.0,2.0,88.0,2
54,7th Phase JP Nagar,1080.0,2.0,72.0,2
55,7th Phase JP Nagar,1270.0,2.0,93.0,2
